Date,Scrip,Open,High,Low,Close,PreClose,AdjClose,Volume,Value,Trade,Change,DateString,DateEpoch
/Date(1703030400000)/,ACI,260.2,260.2,260.2,260.2,0,0,8,0,0,0,20/12/2023 00:00:00,1703030400000
/Date(1703376000000)/,ACI,260.2,260.2,260.2,260.2,0,0,26,0,0,0,24/12/2023 00:00:00,1703376000000
/Date(1703548800000)/,ACI,260.2,260.2,260.2,260.2,0,0,9,0,0,0,26/12/2023 00:00:00,1703548800000
/Date(1703635200000)/,ACI,260.2,260.2,260.2,260.2,0,0,118,0,0,0,27/12/2023 00:00:00,1703635200000
/Date(1704067200000)/,ACI,260.2,260.2,260.2,260.2,0,0,100,0,0,0,01/01/2024 00:00:00,1704067200000
/Date(1704153600000)/,ACI,260.2,260.2,260.2,260.2,0,0,36,0,0,0,02/01/2024 00:00:00,1704153600000
/Date(1704240000000)/,ACI,260.2,260.2,260.2,260.2,0,0,2,0,0,0,03/01/2024 00:00:00,1704240000000
/Date(1704326400000)/,ACI,260.2,260.2,260.2,260.2,0,0,14,0,0,0,04/01/2024 00:00:00,1704326400000
/Date(1704672000000)/,ACI,260.2,260.2,260.2,260.2,0,0,243,0,0,0,08/01/2024 00:00:00,1704672000000
/Date(1704758400000)/,ACI,260.2,260.2,260.2,260.2,0,0,16,0,0,0,09/01/2024 00:00:00,1704758400000
/Date(1704844800000)/,ACI,260.2,260.2,260.2,260.2,0,0,12,0,0,0,10/01/2024 00:00:00,1704844800000
/Date(1704931200000)/,ACI,260.2,260.2,260.2,260.2,0,0,15,0,0,0,11/01/2024 00:00:00,1704931200000
/Date(1705190400000)/,ACI,260.2,260.2,260.2,260.2,0,0,19,0,0,0,14/01/2024 00:00:00,1705190400000
/Date(1705276800000)/,ACI,260.2,260.2,260.2,260.2,0,0,42,0,0,0,15/01/2024 00:00:00,1705276800000
/Date(1705363200000)/,ACI,260.2,260.2,260.2,260.2,0,0,5,0,0,0,16/01/2024 00:00:00,1705363200000
/Date(1705449600000)/,ACI,260.2,260.2,260.2,260.2,0,0,433,0,0,0,17/01/2024 00:00:00,1705449600000
/Date(1705536000000)/,ACI,260.2,260.2,260.2,260.2,0,0,15,0,0,0,18/01/2024 00:00:00,1705536000000
/Date(1705795200000)/,ACI,237.5,237.5,237.5,237.5,0,0,11594,0,0,0,21/01/2024 00:00:00,1705795200000
/Date(1705881600000)/,ACI,216.8,220.0,216.8,218.0,0,0,148279,0,0,0,22/01/2024 00:00:00,1705881600000
/Date(1705968000000)/,ACI,218.0,218.0,201.0,209.3,0,0,30553,0,0,0,23/01/2024 00:00:00,1705968000000
/Date(1706054400000)/,ACI,209.3,209.4,202.0,203.0,0,0,45579,0,0,0,24/01/2024 00:00:00,1706054400000
/Date(1706140800000)/,ACI,203.1,203.2,196.0,197.1,0,0,25931,0,0,0,25/01/2024 00:00:00,1706140800000
/Date(1706400000000)/,ACI,197.1,198.0,183.0,184.2,0,0,39465,0,0,0,28/01/2024 00:00:00,1706400000000
/Date(1706486400000)/,ACI,183.0,183.0,176.0,180.4,0,0,25964,0,0,0,29/01/2024 00:00:00,1706486400000
/Date(1706572800000)/,ACI,180.4,188.9,180.4,184.1,0,0,21032,0,0,0,30/01/2024 00:00:00,1706572800000
